variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_11347	8.36E-01	8.83E-02	7.85E-01	3.16E-02	1.16E-01	1.58E-02	
group_11184	8.36E-01	1.83E-02	3.49E-01	1.08E-01	1.15E-01	5.44E-02	
group_10504	8.39E-01	5.33E-02	9.33E-01	-1.31E-02	1.55E-01	4.91E-03	
group_10270	8.36E-01	1.83E-02	3.49E-01	1.08E-01	1.15E-01	5.44E-02	
group_10259	8.36E-01	2.94E-01	7.96E-01	2.91E-02	1.13E-01	1.50E-02	
group_9998	8.36E-01	8.83E-02	8.65E-01	-2.37E-02	1.40E-01	9.84E-03	
group_9590	8.36E-01	1.83E-02	3.49E-01	1.08E-01	1.15E-01	5.44E-02	
group_8250	8.36E-01	1.83E-02	3.49E-01	1.08E-01	1.15E-01	5.44E-02	
ykgO	8.36E-01	2.94E-01	7.02E-01	5.42E-02	1.41E-01	2.22E-02	
group_7905	8.36E-01	4.70E-01	6.86E-01	-4.57E-02	1.13E-01	2.35E-02	
cheR~~~wspC	8.33E-01	7.11E-02	7.74E-01	3.41E-02	1.19E-01	1.67E-02	
group_16569	8.33E-01	7.11E-02	6.52E-01	8.83E-02	1.96E-01	2.62E-02	
group_16292	8.33E-01	6.13E-01	1.89E-01	-1.53E-01	1.16E-01	7.62E-02	
nimR~~~araC~~~rhaS	8.33E-01	4.06E-01	1.00E+00	-4.87E-05	1.11E-01	2.55E-05	
group_14348	8.33E-01	1.41E-02	3.10E-01	1.13E-01	1.11E-01	5.89E-02	
group_14059	8.33E-01	1.41E-02	3.10E-01	1.13E-01	1.11E-01	5.89E-02	
group_13635	8.33E-01	1.41E-02	3.10E-01	1.13E-01	1.11E-01	5.89E-02	
group_13598	8.33E-01	5.46E-03	3.09E-01	1.49E-01	1.46E-01	5.90E-02	
group_13585	8.33E-01	5.46E-03	3.09E-01	1.49E-01	1.46E-01	5.90E-02	
group_13556	8.33E-01	1.41E-02	3.10E-01	1.13E-01	1.11E-01	5.89E-02	
group_13401	8.33E-01	3.32E-02	9.96E-01	-6.00E-04	1.12E-01	3.12E-04	
group_13048	8.33E-01	5.46E-03	3.09E-01	1.49E-01	1.46E-01	5.90E-02	
group_12862	8.33E-01	6.13E-01	2.62E-02	-2.64E-01	1.18E-01	1.29E-01	
group_12743	8.33E-01	1.91E-03	1.70E-01	2.15E-01	1.56E-01	7.96E-02	
group_12429	8.33E-01	2.48E-01	2.34E-02	-3.06E-01	1.34E-01	1.31E-01	
argO~~~lysE	8.33E-01	6.13E-01	2.62E-02	-2.64E-01	1.18E-01	1.29E-01	
group_11829	8.33E-01	3.32E-02	4.03E-01	1.04E-01	1.24E-01	4.86E-02	
sapC	8.33E-01	5.46E-03	3.09E-01	1.49E-01	1.46E-01	5.90E-02	
fixK	8.33E-01	7.11E-02	9.88E-01	-1.83E-03	1.21E-01	8.79E-04	
group_10825	8.33E-01	1.91E-03	1.70E-01	2.15E-01	1.56E-01	7.96E-02	
group_10644	8.33E-01	3.32E-02	4.03E-01	1.04E-01	1.24E-01	4.86E-02	
group_10090	8.33E-01	1.41E-02	2.92E-01	1.51E-01	1.43E-01	6.11E-02	
group_9454	8.33E-01	1.39E-01	3.87E-01	-9.62E-02	1.11E-01	5.02E-02	
group_9418	8.33E-01	6.13E-01	2.62E-02	-2.64E-01	1.18E-01	1.29E-01	
group_20102	8.29E-01	5.70E-02	9.70E-01	-4.76E-03	1.26E-01	2.20E-03	
group_19723	8.29E-01	2.08E-01	2.34E-01	-1.34E-01	1.13E-01	6.90E-02	
group_19711	8.29E-01	3.49E-01	1.18E-01	-1.77E-01	1.13E-01	9.06E-02	
nepI~~~pbuE	8.29E-01	2.08E-01	9.29E-01	1.04E-02	1.17E-01	5.16E-03	
group_18254	8.29E-01	1.08E-02	4.94E-01	7.98E-02	1.16E-01	3.97E-02	
group_16368	8.29E-01	1.14E-01	7.58E-01	-5.43E-02	1.76E-01	1.79E-02	
group_15637	8.29E-01	1.01E-01	9.19E-01	-6.53E-03	6.40E-02	5.92E-03	
group_14950	8.29E-01	3.49E-01	8.42E-01	2.13E-02	1.06E-01	1.16E-02	
