variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_12822	1.18E-01	8.98E-03	4.00E-01	-1.65E-01	1.96E-01	4.90E-02	bad-chisq
group_12633	1.18E-01	8.98E-03	4.00E-01	-1.65E-01	1.96E-01	4.90E-02	bad-chisq
group_12579	1.18E-01	8.98E-03	4.17E-01	-1.54E-01	1.89E-01	4.72E-02	bad-chisq
group_12377	1.18E-01	8.98E-03	4.06E-01	-1.58E-01	1.90E-01	4.84E-02	bad-chisq
group_12047	1.18E-01	8.98E-03	4.00E-01	-1.65E-01	1.96E-01	4.90E-02	bad-chisq
group_11747	1.18E-01	8.98E-03	4.17E-01	-1.54E-01	1.89E-01	4.72E-02	bad-chisq
group_11364	1.04E-01	4.14E-03	1.89E-01	-8.98E-02	6.82E-02	7.64E-02	bad-chisq
group_10494	1.18E-01	8.98E-03	4.17E-01	-1.54E-01	1.89E-01	4.72E-02	bad-chisq
group_9779	1.11E-01	2.98E-03	9.06E-01	-3.76E-02	3.18E-01	6.88E-03	bad-chisq
group_9449	1.18E-01	8.98E-03	4.00E-01	-1.65E-01	1.96E-01	4.90E-02	bad-chisq
group_8866	1.18E-01	8.98E-03	4.28E-01	-1.05E-01	1.32E-01	4.62E-02	bad-chisq
group_8865	1.18E-01	8.98E-03	4.28E-01	-1.05E-01	1.32E-01	4.62E-02	bad-chisq
group_8593	1.18E-01	8.98E-03	4.17E-01	-1.54E-01	1.89E-01	4.72E-02	bad-chisq
group_7825	1.18E-01	8.98E-03	4.03E-01	-1.57E-01	1.88E-01	4.87E-02	bad-chisq
group_7723	1.18E-01	4.33E-01	3.31E-01	6.69E-02	6.86E-02	5.66E-02	
group_7590	1.14E-01	3.62E-02	9.13E-01	-8.57E-03	7.86E-02	6.35E-03	
group_7192	1.18E-01	8.98E-03	4.03E-01	-1.57E-01	1.88E-01	4.87E-02	bad-chisq
lysR~~~cynR	1.18E-01	8.98E-03	4.28E-01	-1.05E-01	1.32E-01	4.62E-02	bad-chisq
group_5964	1.18E-01	8.98E-03	4.28E-01	-1.05E-01	1.32E-01	4.62E-02	bad-chisq
group_5912	1.18E-01	8.98E-03	4.03E-01	-1.57E-01	1.88E-01	4.87E-02	bad-chisq
group_5851	1.18E-01	8.98E-03	4.03E-01	-1.57E-01	1.88E-01	4.87E-02	bad-chisq
group_5696	1.18E-01	2.97E-01	2.46E-03	2.21E-01	7.23E-02	1.75E-01	
group_5558	1.18E-01	8.98E-03	4.17E-01	-1.54E-01	1.89E-01	4.72E-02	bad-chisq
group_4609	1.14E-01	1.06E-02	7.24E-02	-1.37E-01	7.57E-02	1.04E-01	bad-chisq
group_3842	1.11E-01	2.98E-03	8.06E-02	-1.30E-01	7.39E-02	1.02E-01	bad-chisq
group_3805	1.18E-01	8.97E-01	6.30E-02	1.38E-01	7.38E-02	1.08E-01	
group_21011	1.08E-01	3.52E-03	9.12E-01	-3.64E-02	3.27E-01	6.46E-03	bad-chisq
group_20990	1.08E-01	3.52E-03	9.12E-01	-3.64E-02	3.27E-01	6.46E-03	bad-chisq
lprI~~~yecT	1.08E-01	3.52E-03	9.12E-01	-3.64E-02	3.27E-01	6.46E-03	bad-chisq
oppF~~~dppD	1.08E-01	3.52E-03	9.12E-01	-3.64E-02	3.27E-01	6.46E-03	bad-chisq
oppD~~~dppD	1.08E-01	3.52E-03	9.12E-01	-3.64E-02	3.27E-01	6.46E-03	bad-chisq
group_19619	1.11E-01	7.55E-01	1.53E-01	9.70E-02	6.77E-02	8.32E-02	
group_19510	1.11E-01	2.98E-03	8.87E-02	-1.17E-01	6.84E-02	9.90E-02	bad-chisq
group_19325	1.11E-01	4.22E-02	9.59E-01	-4.11E-03	7.98E-02	3.00E-03	
group_19203	1.14E-01	2.52E-01	8.35E-03	1.84E-01	6.94E-02	1.53E-01	
group_17142	1.14E-01	1.06E-02	2.01E-01	-1.74E-01	1.35E-01	7.44E-02	bad-chisq
group_17106	1.14E-01	1.06E-02	4.75E-01	-1.31E-01	1.83E-01	4.16E-02	bad-chisq
group_16861	1.14E-01	3.62E-02	4.46E-01	-4.78E-02	6.27E-02	4.44E-02	
group_16319	1.14E-01	1.06E-02	2.01E-01	-1.74E-01	1.35E-01	7.44E-02	bad-chisq
group_16128	1.14E-01	1.06E-02	4.75E-01	-1.31E-01	1.83E-01	4.16E-02	bad-chisq
group_15420	1.14E-01	1.06E-02	5.32E-01	-7.43E-02	1.19E-01	3.64E-02	bad-chisq
group_15057	1.14E-01	8.08E-01	3.19E-01	6.65E-02	6.66E-02	5.80E-02	
group_14766	1.14E-01	1.06E-02	4.75E-01	-1.31E-01	1.83E-01	4.16E-02	bad-chisq
group_14515	1.14E-01	1.06E-02	4.75E-01	-1.31E-01	1.83E-01	4.16E-02	bad-chisq
group_14512	1.11E-01	2.98E-03	3.98E-01	-8.48E-02	1.00E-01	4.92E-02	bad-chisq
group_13784	1.08E-01	3.52E-03	9.32E-01	-2.30E-02	2.69E-01	4.98E-03	bad-chisq
group_12482	1.08E-01	3.52E-03	9.32E-01	-2.30E-02	2.69E-01	4.98E-03	bad-chisq
group_12248	1.14E-01	8.08E-01	3.19E-01	6.65E-02	6.66E-02	5.80E-02	
group_10421	1.11E-01	2.98E-03	2.15E-02	-1.89E-01	8.18E-02	1.33E-01	bad-chisq
group_9427	1.14E-01	1.06E-02	4.75E-01	-1.21E-01	1.69E-01	4.16E-02	bad-chisq
group_6184	1.11E-01	2.98E-03	2.15E-02	-1.89E-01	8.18E-02	1.33E-01	bad-chisq
group_5695	1.14E-01	1.06E-02	4.88E-01	-1.21E-01	1.74E-01	4.04E-02	bad-chisq
thpR	1.14E-01	1.06E-02	3.90E-01	-1.49E-01	1.73E-01	5.00E-02	bad-chisq
group_20859	1.04E-01	4.14E-03	9.36E-01	-2.02E-02	2.53E-01	4.67E-03	bad-chisq
group_20042	1.08E-01	1.46E-02	4.41E-01	-5.78E-02	7.49E-02	4.49E-02	bad-chisq
group_19771	1.11E-01	2.11E-01	2.67E-03	2.02E-01	6.68E-02	1.74E-01	
tadA~~~pilB	1.04E-01	4.14E-03	9.33E-01	-1.90E-02	2.25E-01	4.92E-03	bad-chisq
group_19562	1.11E-01	2.11E-01	2.67E-03	2.02E-01	6.68E-02	1.74E-01	
group_19285	9.76E-02	5.73E-03	3.08E-01	-7.09E-02	6.95E-02	5.93E-02	bad-chisq
group_18400	1.11E-01	1.24E-02	2.47E-01	-1.48E-01	1.27E-01	6.74E-02	bad-chisq
group_18100	1.11E-01	8.76E-01	5.12E-01	4.46E-02	6.79E-02	3.82E-02	
group_17880	1.04E-01	4.14E-03	8.77E-01	-6.71E-02	4.34E-01	9.00E-03	bad-chisq
group_17879	1.04E-01	4.14E-03	8.77E-01	-6.71E-02	4.34E-01	9.00E-03	bad-chisq
group_17546	1.04E-01	4.14E-03	8.77E-01	-6.71E-02	4.34E-01	9.00E-03	bad-chisq
group_17525	1.11E-01	7.55E-01	1.31E-01	1.17E-01	7.72E-02	8.79E-02	
group_17468	1.04E-01	4.14E-03	8.77E-01	-6.71E-02	4.34E-01	9.00E-03	bad-chisq
yjmC	1.04E-01	4.14E-03	8.77E-01	-6.71E-02	4.34E-01	9.00E-03	bad-chisq
group_17076	1.04E-01	4.14E-03	8.77E-01	-6.71E-02	4.34E-01	9.00E-03	bad-chisq
gabR~~~mocR	1.08E-01	4.91E-02	6.11E-01	-3.59E-02	7.04E-02	2.96E-02	
group_16097	1.08E-01	4.91E-02	6.11E-01	-3.59E-02	7.04E-02	2.96E-02	
group_15749	1.11E-01	1.24E-02	2.37E-01	-1.55E-01	1.31E-01	6.88E-02	bad-chisq
rES	1.04E-01	4.14E-03	8.77E-01	-6.71E-02	4.34E-01	9.00E-03	bad-chisq
group_15302	1.11E-01	1.24E-02	6.12E-01	-5.76E-02	1.14E-01	2.95E-02	bad-chisq
group_15286	1.11E-01	1.24E-02	2.37E-01	-1.55E-01	1.31E-01	6.88E-02	bad-chisq
group_15179	1.08E-01	3.52E-03	1.40E-01	-1.24E-01	8.40E-02	8.58E-02	bad-chisq
ygaZ~~~azlC	1.04E-01	4.14E-03	9.38E-01	-2.07E-02	2.65E-01	4.55E-03	bad-chisq
group_14701	1.11E-01	4.22E-02	7.12E-01	-2.73E-02	7.39E-02	2.15E-02	
group_14662	1.01E-01	6.62E-02	7.06E-01	-3.21E-02	8.48E-02	2.20E-02	
group_14551	1.04E-01	4.14E-03	8.77E-01	-6.71E-02	4.34E-01	9.00E-03	bad-chisq
