variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_19687	5.80E-02	8.58E-02	1.79E-01	-1.71E-01	1.27E-01	7.87E-02	bad-chisq
group_19508	5.80E-02	2.61E-01	8.75E-01	-1.66E-02	1.05E-01	9.24E-03	
group_19470	5.80E-02	8.58E-02	4.34E-01	-8.30E-02	1.06E-01	4.59E-02	bad-chisq
group_19344	5.80E-02	2.61E-01	8.86E-01	-1.47E-02	1.03E-01	8.39E-03	
group_19271	5.12E-02	3.67E-01	9.75E-01	3.39E-03	1.08E-01	1.83E-03	
group_19022	5.80E-02	8.58E-02	4.63E-01	-7.83E-02	1.07E-01	4.31E-02	bad-chisq
group_19017	5.46E-02	1.04E-01	4.72E-01	-7.53E-02	1.05E-01	4.22E-02	bad-chisq
group_19010	5.80E-02	8.58E-02	4.63E-01	-7.83E-02	1.07E-01	4.31E-02	bad-chisq
group_18992	5.80E-02	8.58E-02	4.63E-01	-7.83E-02	1.07E-01	4.31E-02	bad-chisq
group_18991	5.80E-02	8.58E-02	4.63E-01	-7.83E-02	1.07E-01	4.31E-02	bad-chisq
group_18929	5.80E-02	8.58E-02	4.63E-01	-7.83E-02	1.07E-01	4.31E-02	bad-chisq
group_18928	5.80E-02	8.58E-02	4.63E-01	-7.83E-02	1.07E-01	4.31E-02	bad-chisq
group_18925	5.12E-02	1.25E-01	2.09E-01	-2.76E-01	2.19E-01	7.36E-02	bad-chisq
group_18924	5.12E-02	1.25E-01	2.09E-01	-2.76E-01	2.19E-01	7.36E-02	bad-chisq
group_18880	5.80E-02	8.58E-02	4.63E-01	-7.83E-02	1.07E-01	4.31E-02	bad-chisq
group_18876	5.12E-02	1.25E-01	2.09E-01	-2.76E-01	2.19E-01	7.36E-02	bad-chisq
group_18875	5.12E-02	1.25E-01	2.09E-01	-2.76E-01	2.19E-01	7.36E-02	bad-chisq
group_18811	5.80E-02	8.58E-02	4.63E-01	-7.83E-02	1.07E-01	4.31E-02	bad-chisq
group_18792	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_18729	5.80E-02	8.58E-02	4.63E-01	-7.83E-02	1.07E-01	4.31E-02	bad-chisq
group_18728	5.80E-02	8.58E-02	4.63E-01	-7.83E-02	1.07E-01	4.31E-02	bad-chisq
group_18709	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_18647	5.80E-02	8.58E-02	4.63E-01	-7.83E-02	1.07E-01	4.31E-02	bad-chisq
group_18633	5.12E-02	3.04E-02	6.26E-02	-2.04E-01	1.09E-01	1.09E-01	bad-chisq
group_18616	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_18615	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_18504	5.12E-02	3.04E-02	6.26E-02	-2.04E-01	1.09E-01	1.09E-01	bad-chisq
group_18486	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_18485	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
pilQ	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_18351	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_18153	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_18152	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_17917	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_17912	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_17770	5.80E-02	9.47E-01	4.43E-01	8.02E-02	1.04E-01	4.50E-02	
group_17649	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_17589	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_17136	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_16916	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
klcA	5.12E-02	1.25E-01	4.13E-01	-1.09E-01	1.33E-01	4.80E-02	bad-chisq
group_16525	5.80E-02	8.58E-02	4.63E-01	-7.83E-02	1.07E-01	4.31E-02	bad-chisq
group_16461	5.46E-02	3.10E-01	7.35E-01	-3.64E-02	1.07E-01	1.98E-02	
group_16445	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_16216	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_16215	5.80E-02	5.97E-01	6.53E-01	4.58E-02	1.02E-01	2.64E-02	
group_16192	5.46E-02	8.34E-01	3.27E-01	1.33E-01	1.36E-01	5.75E-02	
group_16155	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_16154	5.12E-02	3.04E-02	6.69E-02	-2.00E-01	1.09E-01	1.07E-01	bad-chisq
group_16117	5.46E-02	8.34E-01	3.16E-01	1.31E-01	1.31E-01	5.87E-02	
