variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_12296	1.08E-01	3.87E-01	9.84E-01	-1.76E-03	8.85E-02	1.16E-03	
group_12070	1.08E-01	1.29E-03	3.56E-01	-9.42E-02	1.02E-01	5.38E-02	
group_11769	1.01E-01	8.64E-03	6.02E-01	-5.48E-02	1.05E-01	3.04E-02	
group_11768	1.01E-01	8.64E-03	6.02E-01	-5.48E-02	1.05E-01	3.04E-02	
group_11481	1.08E-01	1.29E-03	2.44E-01	-1.18E-01	1.01E-01	6.79E-02	
group_10528	1.01E-01	8.64E-03	6.02E-01	-5.48E-02	1.05E-01	3.04E-02	
group_10527	1.01E-01	8.64E-03	6.02E-01	-5.48E-02	1.05E-01	3.04E-02	
group_10113	1.08E-01	1.29E-03	2.44E-01	-1.18E-01	1.01E-01	6.79E-02	
group_10112	1.08E-01	1.29E-03	2.44E-01	-1.18E-01	1.01E-01	6.79E-02	
group_9697	9.76E-02	1.76E-04	9.48E-01	3.07E-02	4.72E-01	3.78E-03	bad-chisq
gstB	1.01E-01	8.64E-03	6.02E-01	-5.48E-02	1.05E-01	3.04E-02	
group_8660	1.01E-01	8.64E-03	6.02E-01	-5.48E-02	1.05E-01	3.04E-02	
group_8241	1.08E-01	4.81E-01	4.35E-02	1.67E-01	8.25E-02	1.17E-01	
group_8032	1.04E-01	6.38E-03	4.94E-02	-1.71E-01	8.67E-02	1.14E-01	
group_7760	1.08E-01	3.87E-01	6.57E-01	3.98E-02	8.96E-02	2.58E-02	
group_7425	1.08E-01	5.77E-10	6.07E-01	4.59E-02	8.92E-02	2.99E-02	
virB6	1.04E-01	9.91E-02	2.97E-03	2.64E-01	8.81E-02	1.72E-01	
group_5735	1.04E-01	9.91E-02	2.97E-03	2.64E-01	8.81E-02	1.72E-01	
group_5645	1.01E-01	8.64E-03	6.02E-01	-5.48E-02	1.05E-01	3.04E-02	
sigH	1.08E-01	9.90E-02	3.10E-01	-9.91E-02	9.75E-02	5.91E-02	
group_5418	1.01E-01	2.23E-05	3.38E-01	-2.53E-01	2.64E-01	5.58E-02	bad-chisq
group_5038	1.08E-01	9.90E-02	3.10E-01	-9.91E-02	9.75E-02	5.91E-02	
group_3452	1.08E-01	9.90E-02	3.10E-01	-9.91E-02	9.75E-02	5.91E-02	
group_527	1.08E-01	9.36E-01	2.45E-01	8.93E-02	7.66E-02	6.77E-02	
group_23892	1.04E-01	1.78E-03	8.44E-01	-3.59E-02	1.82E-01	1.15E-02	
group_20629	1.01E-01	3.12E-01	9.28E-01	-8.27E-03	9.18E-02	5.25E-03	
group_20449	1.01E-01	3.12E-01	6.42E-01	-3.98E-02	8.56E-02	2.71E-02	
group_20448	1.01E-01	3.12E-01	6.42E-01	-3.98E-02	8.56E-02	2.71E-02	
group_20248	1.01E-01	3.12E-01	6.33E-01	-4.07E-02	8.51E-02	2.78E-02	
group_20104	1.04E-01	8.82E-05	2.55E-01	-3.14E-01	2.76E-01	6.62E-02	bad-chisq
group_19765	9.43E-02	4.47E-05	5.92E-01	-1.85E-01	3.44E-01	3.12E-02	bad-chisq
group_19681	9.76E-02	9.49E-01	1.70E-01	1.22E-01	8.84E-02	7.99E-02	
group_19476	1.04E-01	2.11E-01	7.30E-03	2.42E-01	8.95E-02	1.55E-01	
group_18881	9.43E-02	4.47E-05	6.27E-01	-1.47E-01	3.02E-01	2.83E-02	bad-chisq
yraJ~~~papC	1.01E-01	6.90E-02	3.69E-01	-8.13E-02	9.03E-02	5.23E-02	
group_17864	9.43E-02	2.47E-04	9.83E-01	8.29E-03	3.86E-01	1.25E-03	bad-chisq
group_16248	1.01E-01	8.64E-03	3.46E-02	-1.81E-01	8.51E-02	1.23E-01	
group_16207	1.04E-01	4.27E-04	6.13E-01	-6.54E-02	1.29E-01	2.95E-02	
group_15379	1.04E-01	4.27E-04	1.21E-02	-2.10E-01	8.30E-02	1.46E-01	
group_15329	1.04E-01	4.27E-04	1.21E-02	-2.10E-01	8.30E-02	1.46E-01	
group_15195	1.04E-01	4.27E-04	1.21E-02	-2.10E-01	8.30E-02	1.46E-01	
group_15123	1.04E-01	4.27E-04	1.21E-02	-2.10E-01	8.30E-02	1.46E-01	
group_15055	1.04E-01	4.27E-04	1.21E-02	-2.10E-01	8.30E-02	1.46E-01	
group_14740	9.76E-02	3.16E-05	4.21E-01	-1.75E-01	2.17E-01	4.69E-02	bad-chisq
group_14082	1.04E-01	8.82E-05	1.83E-01	-3.21E-01	2.40E-01	7.75E-02	bad-chisq
hxsA	1.01E-01	5.46E-01	1.65E-01	1.35E-01	9.68E-02	8.08E-02	
group_13714	1.01E-01	5.46E-01	1.65E-01	1.35E-01	9.68E-02	8.08E-02	
group_13669	1.04E-01	8.82E-05	1.83E-01	-3.21E-01	2.40E-01	7.75E-02	bad-chisq
group_13587	1.04E-01	8.82E-05	1.83E-01	-3.21E-01	2.40E-01	7.75E-02	bad-chisq
group_13096	1.01E-01	5.46E-01	1.65E-01	1.35E-01	9.68E-02	8.08E-02	
group_13022	1.04E-01	8.82E-05	1.83E-01	-3.21E-01	2.40E-01	7.75E-02	bad-chisq
group_12697	1.04E-01	6.38E-03	5.86E-01	-7.07E-02	1.30E-01	3.17E-02	
group_11563	1.04E-01	6.38E-03	6.21E-01	-6.70E-02	1.35E-01	2.88E-02	
group_10222	1.04E-01	6.38E-03	6.21E-01	-6.70E-02	1.35E-01	2.88E-02	
stbB	1.01E-01	3.12E-01	9.28E-01	-8.27E-03	9.18E-02	5.25E-03	
group_9664	1.04E-01	1.78E-03	8.82E-01	-2.50E-02	1.68E-01	8.69E-03	
gbpR~~~lysR	1.04E-01	6.38E-03	6.21E-01	-6.70E-02	1.35E-01	2.88E-02	
group_4687	1.04E-01	8.82E-05	3.03E-01	-1.66E-01	1.61E-01	5.99E-02	bad-chisq
group_4051	1.04E-01	4.60E-01	9.71E-01	2.84E-03	7.68E-02	2.15E-03	
group_24108	9.76E-02	1.17E-02	6.27E-02	-1.83E-01	9.80E-02	1.08E-01	
group_22460	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_20753	1.01E-01	1.57E-01	8.59E-01	1.57E-02	8.84E-02	1.03E-02	
group_20495	9.43E-02	1.13E-01	9.74E-01	-2.76E-03	8.40E-02	1.91E-03	
group_20493	9.43E-02	1.13E-01	9.74E-01	-2.76E-03	8.40E-02	1.91E-03	
group_20312	9.43E-02	1.13E-01	9.74E-01	-2.76E-03	8.40E-02	1.91E-03	
group_20311	9.43E-02	1.13E-01	9.74E-01	-2.76E-03	8.40E-02	1.91E-03	
group_20310	9.43E-02	1.13E-01	9.74E-01	-2.76E-03	8.40E-02	1.91E-03	
group_20252	9.76E-02	1.96E-01	4.20E-01	-6.95E-02	8.61E-02	4.70E-02	
group_20222	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_20221	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_20158	9.76E-02	3.77E-01	7.83E-01	2.59E-02	9.40E-02	1.60E-02	
group_20094	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_20006	1.01E-01	8.38E-01	2.74E-01	9.97E-02	9.10E-02	6.37E-02	
group_19847	1.01E-01	8.38E-01	4.75E-01	5.81E-02	8.12E-02	4.16E-02	
group_19817	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_19810	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_19732	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_19342	1.01E-01	1.25E-04	2.53E-01	-2.62E-01	2.29E-01	6.65E-02	bad-chisq
group_19004	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18981	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18979	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18948	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18904	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18902	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18850	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18849	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18771	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18693	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18692	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18650	9.76E-02	8.86E-02	4.11E-01	-7.54E-02	9.15E-02	4.79E-02	
group_18614	9.76E-02	8.86E-02	4.11E-01	-7.54E-02	9.15E-02	4.79E-02	
group_18613	9.76E-02	8.86E-02	4.11E-01	-7.54E-02	9.15E-02	4.79E-02	
group_18590	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18524	9.76E-02	8.86E-02	4.11E-01	-7.54E-02	9.15E-02	4.79E-02	
group_18481	9.76E-02	8.86E-02	4.11E-01	-7.54E-02	9.15E-02	4.79E-02	
group_18451	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
bppU	9.76E-02	3.77E-01	6.41E-01	-4.05E-02	8.69E-02	2.72E-02	
group_18394	9.76E-02	8.86E-02	4.11E-01	-7.54E-02	9.15E-02	4.79E-02	
group_18393	9.76E-02	8.86E-02	4.11E-01	-7.54E-02	9.15E-02	4.79E-02	
