variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_7893	8.67E-02	1.70E-06	3.01E-02	-3.38E-01	1.55E-01	1.25E-01	
group_7728	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_7717	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_7712	8.67E-02	3.41E-03	7.90E-01	-2.28E-02	8.56E-02	1.54E-02	bad-chisq
group_7705	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_7571	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_7340	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
traE	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
ompA	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_7299	8.67E-02	4.83E-01	9.20E-02	-1.60E-01	9.43E-02	9.75E-02	
group_7191	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_7121	8.67E-02	2.97E-03	8.03E-01	4.58E-02	1.83E-01	1.45E-02	
group_6969	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_6877	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_6848	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_6837	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
traU	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_6353	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_6350	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_6154	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_6153	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_5816	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_5815	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_5804	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_5803	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
trbC	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
traW	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_5650	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_5098	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_4955	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_4883	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_4791	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
traA	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_4607	8.67E-02	2.97E-03	3.87E-01	-1.88E-01	2.17E-01	5.02E-02	
group_4401	8.67E-02	4.83E-01	9.20E-02	-1.60E-01	9.43E-02	9.75E-02	
group_4294	8.67E-02	1.33E-02	1.81E-01	1.77E-01	1.32E-01	7.74E-02	
group_4209	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_4171	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_4041	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_3966	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_3921	8.67E-02	1.33E-02	1.81E-01	1.77E-01	1.32E-01	7.74E-02	
group_3288	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_3152	8.67E-02	4.83E-01	9.20E-02	-1.60E-01	9.43E-02	9.75E-02	
group_3099	8.67E-02	1.18E-02	9.46E-01	-1.73E-02	2.58E-01	3.90E-03	
group_3060	8.67E-02	1.33E-02	1.81E-01	1.77E-01	1.32E-01	7.74E-02	
group_3053	8.67E-02	1.33E-02	1.81E-01	1.77E-01	1.32E-01	7.74E-02	
traH	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_1453	8.67E-02	4.83E-01	9.20E-02	-1.60E-01	9.43E-02	9.75E-02	
traC	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_316	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
traL	8.67E-02	1.08E-01	6.36E-01	4.71E-02	9.94E-02	2.74E-02	
group_21183	8.33E-02	1.91E-01	8.16E-01	-2.35E-02	1.01E-01	1.35E-02	
group_21180	8.33E-02	1.91E-01	8.16E-01	-2.35E-02	1.01E-01	1.35E-02	
group_21133	8.33E-02	2.56E-02	2.97E-01	-1.09E-01	1.04E-01	6.04E-02	
group_21093	8.33E-02	3.97E-01	6.98E-01	4.79E-02	1.23E-01	2.25E-02	
group_20820	8.33E-02	5.60E-07	8.11E-01	-1.80E-01	7.51E-01	1.39E-02	
group_20816	8.33E-02	5.60E-07	8.11E-01	-1.80E-01	7.51E-01	1.39E-02	
group_20749	8.33E-02	3.97E-01	8.73E-01	-1.54E-02	9.61E-02	9.30E-03	
group_20587	8.00E-02	3.18E-01	8.87E-01	1.37E-02	9.70E-02	8.20E-03	
group_20497	8.33E-02	2.56E-02	1.36E-01	-1.44E-01	9.65E-02	8.63E-02	
group_20496	8.33E-02	2.56E-02	1.36E-01	-1.44E-01	9.65E-02	8.63E-02	
group_20480	8.33E-02	5.60E-07	8.11E-01	-1.80E-01	7.51E-01	1.39E-02	
group_20467	8.33E-02	3.97E-01	8.73E-01	-1.54E-02	9.61E-02	9.30E-03	
group_20269	8.33E-02	3.97E-01	8.73E-01	-1.54E-02	9.61E-02	9.30E-03	
group_20129	8.33E-02	5.56E-06	5.90E-01	1.86E-01	3.44E-01	3.13E-02	
group_19994	8.33E-02	3.97E-01	8.73E-01	-1.54E-02	9.61E-02	9.30E-03	
group_19993	8.33E-02	3.97E-01	8.73E-01	-1.54E-02	9.61E-02	9.30E-03	
group_19773	8.33E-02	5.60E-07	3.97E-01	-2.91E-01	3.43E-01	4.91E-02	
group_19692	8.33E-02	7.66E-02	4.39E-01	-8.50E-02	1.10E-01	4.48E-02	
group_19235	8.33E-02	1.60E-03	9.48E-01	2.15E-02	3.28E-01	3.81E-03	
group_18003	8.33E-02	4.49E-05	2.23E-01	-3.41E-01	2.79E-01	7.06E-02	
group_17720	8.33E-02	2.56E-02	5.61E-01	-1.07E-01	1.84E-01	3.37E-02	
group_16709	8.33E-02	2.56E-02	5.61E-01	-1.07E-01	1.84E-01	3.37E-02	
group_15834	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
group_15830	8.33E-02	1.60E-03	6.22E-01	2.27E-01	4.61E-01	2.86E-02	
group_15801	8.33E-02	1.60E-03	6.22E-01	2.27E-01	4.61E-01	2.86E-02	
group_15117	8.33E-02	7.66E-02	4.15E-01	3.11E-01	3.82E-01	4.72E-02	
group_14967	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
group_14591	8.33E-02	5.60E-07	7.46E-06	-4.49E-01	9.85E-02	2.55E-01	
group_14363	8.33E-02	7.00E-01	5.66E-01	-5.63E-02	9.80E-02	3.33E-02	
group_14191	8.33E-02	7.05E-03	7.45E-01	2.17E-01	6.66E-01	1.88E-02	
group_13111	8.33E-02	2.96E-04	4.85E-03	-2.77E-01	9.75E-02	1.62E-01	
group_12385	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
group_12380	8.33E-02	2.96E-04	4.85E-03	-2.77E-01	9.75E-02	1.62E-01	
shlB~~~fhaC~~~hlyB	8.33E-02	5.60E-07	3.97E-01	-2.18E-01	2.57E-01	4.91E-02	
group_10840	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
group_10777	8.33E-02	1.91E-01	3.73E-01	8.80E-02	9.87E-02	5.16E-02	
group_10499	8.33E-02	2.56E-02	3.21E-01	-1.64E-01	1.65E-01	5.74E-02	
group_10498	8.33E-02	2.56E-02	3.21E-01	-1.64E-01	1.65E-01	5.74E-02	
group_9931	8.33E-02	7.66E-02	8.94E-01	1.37E-02	1.03E-01	7.73E-03	
group_9669	8.33E-02	2.56E-02	9.19E-01	-1.14E-02	1.11E-01	5.92E-03	
group_9225	8.33E-02	1.91E-01	1.49E-01	-1.73E-01	1.20E-01	8.35E-02	
group_8747	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
group_8666	8.33E-02	1.91E-01	3.73E-01	8.80E-02	9.87E-02	5.16E-02	
group_8604	8.33E-02	2.56E-02	3.21E-01	-1.64E-01	1.65E-01	5.74E-02	
group_7916	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
group_7823	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
group_7614	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
group_7029	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
ugpC	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
group_6121	8.33E-02	2.56E-02	2.25E-01	2.55E-01	2.09E-01	7.03E-02	
group_5920	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
group_5911	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
group_5756	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
group_5526	8.33E-02	1.91E-01	6.01E-01	5.34E-02	1.02E-01	3.03E-02	
group_5320	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
ugpA	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
dsbA	8.33E-02	7.66E-02	8.94E-01	1.37E-02	1.03E-01	7.73E-03	
hisD	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
group_3687	8.33E-02	2.56E-02	2.62E-01	-2.03E-01	1.81E-01	6.50E-02	
group_3525	8.33E-02	2.56E-02	5.75E-01	1.30E-01	2.33E-01	3.25E-02	
group_23900	7.67E-02	7.76E-01	7.06E-01	-4.72E-02	1.25E-01	2.19E-02	
group_23159	8.00E-02	8.06E-04	2.21E-02	-3.31E-01	1.44E-01	1.32E-01	
group_21166	8.00E-02	8.06E-04	3.06E-02	-2.23E-01	1.03E-01	1.25E-01	
group_21018	8.00E-02	8.06E-04	3.26E-02	-2.13E-01	9.92E-02	1.23E-01	
yedL~~~tonB	8.00E-02	1.91E-06	9.80E-01	-1.01E-02	3.96E-01	1.48E-03	
group_20692	8.00E-02	5.98E-01	7.42E-01	3.24E-02	9.84E-02	1.91E-02	
group_20691	8.00E-02	5.98E-01	7.42E-01	3.24E-02	9.84E-02	1.91E-02	
group_20667	8.00E-02	1.33E-04	9.46E-01	3.19E-02	4.68E-01	3.95E-03	
group_20606	8.00E-02	5.98E-01	7.42E-01	3.24E-02	9.84E-02	1.91E-02	
group_20605	8.00E-02	5.98E-01	7.42E-01	3.24E-02	9.84E-02	1.91E-02	
group_20500	8.00E-02	1.33E-04	1.82E-02	-2.70E-01	1.14E-01	1.36E-01	
group_20167	7.67E-02	3.45E-02	2.72E-01	-1.13E-01	1.02E-01	6.36E-02	
group_20089	8.00E-02	8.06E-04	1.74E-03	-3.17E-01	1.00E-01	1.80E-01	
group_19935	8.00E-02	3.97E-03	4.04E-01	-4.05E-01	4.85E-01	4.83E-02	
pleD~~~pAS	8.00E-02	1.91E-06	6.50E-01	-3.24E-01	7.14E-01	2.63E-02	
group_19700	8.00E-02	3.97E-03	2.36E-01	4.80E-01	4.04E-01	6.86E-02	
group_19603	8.00E-02	5.25E-02	9.55E-01	6.44E-03	1.14E-01	3.27E-03	
group_19507	8.00E-02	1.42E-01	8.68E-01	-1.82E-02	1.10E-01	9.61E-03	
group_19454	8.00E-02	5.98E-01	8.72E-01	1.58E-02	9.79E-02	9.35E-03	
group_19352	8.00E-02	3.97E-03	4.48E-01	2.62E-01	3.46E-01	4.39E-02	
group_19332	8.00E-02	5.25E-02	6.37E-01	-8.86E-02	1.87E-01	2.74E-02	
group_19306	8.00E-02	3.76E-01	4.20E-01	8.41E-02	1.04E-01	4.68E-02	
