variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_12602	1.21E-01	9.27E-01	5.58E-01	5.43E-02	9.27E-02	3.41E-02	
group_12400	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_11786	1.21E-01	9.27E-01	5.58E-01	5.43E-02	9.27E-02	3.41E-02	
fiu~~~bfrD	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_11301	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
rIO1	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_9504	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_9092	1.25E-01	7.95E-03	4.81E-01	1.81E-01	2.56E-01	4.11E-02	
group_8874	1.25E-01	3.28E-05	8.15E-01	-2.01E-01	8.60E-01	1.36E-02	bad-chisq
group_7827	1.25E-01	2.45E-03	6.82E-01	-7.23E-02	1.76E-01	2.39E-02	
yfdX1	1.18E-01	8.91E-02	8.94E-01	1.08E-02	8.07E-02	7.77E-03	
hdeDGI	1.18E-01	8.91E-02	8.94E-01	1.08E-02	8.07E-02	7.77E-03	
group_5699	1.21E-01	9.27E-01	5.58E-01	5.43E-02	9.27E-02	3.41E-02	
group_5522	1.14E-01	4.73E-02	8.72E-01	-1.48E-02	9.19E-02	9.38E-03	
shsP	1.18E-01	8.91E-02	8.94E-01	1.08E-02	8.07E-02	7.77E-03	
group_4517	1.18E-01	8.91E-02	8.94E-01	1.08E-02	8.07E-02	7.77E-03	
yfdX2	1.18E-01	8.91E-02	8.94E-01	1.08E-02	8.07E-02	7.77E-03	
group_3893	1.21E-01	6.29E-11	8.79E-01	1.39E-02	9.09E-02	8.90E-03	
group_3186	1.21E-01	2.91E-02	6.74E-01	-3.52E-02	8.36E-02	2.45E-02	
