variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_3097	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_3044	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_2118	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_1252	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_165	1.92E-01	1.59E-01	3.51E-01	-1.05E-01	1.12E-01	5.69E-02	
group_23730	1.88E-01	3.36E-01	7.87E-01	-2.98E-02	1.10E-01	1.65E-02	
group_23547	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_23512	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_23318	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_23050	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_22769	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_22731	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_22214	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_21855	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_21642	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_21429	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_21035	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_18715	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_18520	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_17963	2.07E-01	2.33E-02	5.10E-02	1.51E-01	7.71E-02	1.19E-01	
group_17645	2.07E-01	2.33E-02	5.10E-02	1.51E-01	7.71E-02	1.19E-01	
group_17183	1.88E-01	1.13E-01	2.31E-01	-1.33E-01	1.11E-01	7.30E-02	
group_16918	1.88E-01	1.13E-01	2.32E-01	-1.32E-01	1.10E-01	7.29E-02	
group_16815	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_15965	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_14892	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_14842	2.07E-01	4.90E-02	8.17E-02	1.36E-01	7.76E-02	1.06E-01	
group_14636	2.07E-01	4.90E-02	8.17E-02	1.36E-01	7.76E-02	1.06E-01	
group_14389	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_14365	2.07E-01	4.90E-02	8.17E-02	1.36E-01	7.76E-02	1.06E-01	
group_14273	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
acaB	2.07E-01	4.90E-02	8.17E-02	1.36E-01	7.76E-02	1.06E-01	
hchA	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_12362	1.85E-01	4.12E-01	8.31E-01	-2.17E-02	1.02E-01	1.30E-02	
group_12299	2.10E-01	9.44E-05	2.55E-03	2.39E-01	7.84E-02	1.83E-01	
group_11863	2.07E-01	6.41E-01	8.79E-01	-1.19E-02	7.80E-02	9.33E-03	
group_11676	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_11613	2.07E-01	6.41E-01	8.79E-01	-1.19E-02	7.80E-02	9.33E-03	
group_11250	1.88E-01	3.36E-01	7.87E-01	-2.99E-02	1.10E-01	1.65E-02	
group_11247	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_11134	2.07E-01	6.41E-01	8.79E-01	-1.19E-02	7.80E-02	9.33E-03	
group_11133	2.07E-01	6.41E-01	8.79E-01	-1.19E-02	7.80E-02	9.33E-03	
group_11132	2.07E-01	6.41E-01	8.79E-01	-1.19E-02	7.80E-02	9.33E-03	
group_10707	2.07E-01	6.41E-01	8.79E-01	-1.19E-02	7.80E-02	9.33E-03	
group_10284	2.07E-01	6.41E-01	8.79E-01	-1.19E-02	7.80E-02	9.33E-03	
group_10283	2.07E-01	6.41E-01	8.79E-01	-1.19E-02	7.80E-02	9.33E-03	
group_9519	2.07E-01	6.41E-01	8.79E-01	-1.19E-02	7.80E-02	9.33E-03	
group_9518	2.07E-01	6.41E-01	8.79E-01	-1.19E-02	7.80E-02	9.33E-03	
group_9517	2.07E-01	6.41E-01	8.79E-01	-1.19E-02	7.80E-02	9.33E-03	
folE2	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_9124	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_8277	2.07E-01	6.41E-01	8.79E-01	-1.19E-02	7.80E-02	9.33E-03	
group_8018	1.85E-01	8.47E-01	6.72E-01	4.01E-02	9.47E-02	2.58E-02	
group_7450	2.07E-01	6.41E-01	8.45E-01	-1.54E-02	7.85E-02	1.19E-02	
group_6970	2.07E-01	6.41E-01	8.79E-01	-1.19E-02	7.80E-02	9.33E-03	
group_6966	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_6938	1.88E-01	2.03E-01	4.64E-01	-8.12E-02	1.11E-01	4.46E-02	
group_6611	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_6409	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_5556	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
cobW	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_4637	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
zigA	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_4397	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_4280	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_4221	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_3898	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_3837	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_3829	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_3828	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_3758	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_3579	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_3314	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_3299	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
cysS	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
group_3232	1.88E-01	2.03E-01	4.67E-01	-8.11E-02	1.11E-01	4.44E-02	
